date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:18	332/332	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Feb%202022%2008:27:18%20GMT	http://localhost/radars	C:/My%20Web%20Sites/reach/localhost/radars.0.delayed	(from )
13:57:19	296/296	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Feb%202022%2008:27:19%20GMT	http://localhost/robots.txt		(from )
13:57:22	137873/137873	---MC-	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2008:27:19%20GMT	http://localhost/radars/	C:/My%20Web%20Sites/reach/localhost/radars/index.html	(from )
13:57:22	80574/80574	---M--	200	added ('OK')	text/css	etag:%2213abe-5cae72efad580%22	http://localhost/radars/wp-includes/css/dist/block-library/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/reach/localhost/radars/wp-includes/css/dist/block-library/style.minc8d8.css	(from http://localhost/radars/)
13:57:23	2731/2731	---M--	200	added ('OK')	text/css	etag:%22aab-5d616eb78dee3%22	http://localhost/radars/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.4	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/plugins/contact-form-7/includes/css/styles7e15.css	(from http://localhost/radars/)
13:57:23	138962/138962	---M--	200	added ('OK')	text/css	etag:%2221ed2-5d61770d867dd%22	http://localhost/radars/wp-content/plugins/element-ready-lite/assets/css/widgets.min.css?ver=5.8.3	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/plugins/element-ready-lite/assets/css/widgets.minc8d8.css	(from http://localhost/radars/)
13:57:25	159476/159476	---M--	200	added ('OK')	text/css	etag:%2226ef4-5d6167bf363dd%22	http://localhost/radars/wp-content/themes/newsprk/assets/css/plugins/bootstrap.min.css?ver=3.5.2	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/themes/newsprk/assets/css/plugins/bootstrap.min49eb.css	(from http://localhost/radars/)
13:57:27	16962/16962	---M--	200	added ('OK')	text/css	etag:%224242-5d6167bf35ff5%22	http://localhost/radars/wp-content/themes/newsprk/assets/css/plugins/animate.min.css?ver=3.5.2	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/themes/newsprk/assets/css/plugins/animate.min49eb.css	(from http://localhost/radars/)
13:57:28	736/736	---M--	200	added ('OK')	application/rss+xml	etag:%221c7538c9e2d0fb26a499a004b3c737cd%22	http://localhost/radars/comments/feed/	C:/My%20Web%20Sites/reach/localhost/radars/comments/feed/index.html	(from http://localhost/radars/)
13:57:28	105640/105640	---M--	200	added ('OK')	text/css	etag:%2219ca8-5d6167bf367c4%22	http://localhost/radars/wp-content/themes/newsprk/assets/css/plugins/fontawesome.css?ver=3.5.2	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/themes/newsprk/assets/css/plugins/fontawesome49eb.css	(from http://localhost/radars/)
13:57:29	4443/4443	---M--	200	added ('OK')	text/css	etag:%22115b-5d61770d7a0c2%22	http://localhost/radars/wp-content/plugins/element-ready-lite/assets/css/owl.carousel.css?ver=5.8.3	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/plugins/element-ready-lite/assets/css/owl.carouselc8d8.css	(from http://localhost/radars/)
13:57:30	2070/2070	---M--	200	added ('OK')	text/css	etag:%22816-5d61770d76a1a%22	http://localhost/radars/wp-content/plugins/element-ready-lite/assets/css/modal-video.min.css?ver=5.8.3	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/plugins/element-ready-lite/assets/css/modal-video.minc8d8.css	(from http://localhost/radars/)
13:57:30	3483/3483	---M--	200	added ('OK')	text/css	etag:%22d9b-5d61770d798f3%22	http://localhost/radars/wp-content/plugins/element-ready-lite/assets/css/nice-select.css?ver=5.8.3	C:/My%20Web%20Sites/reach/localhost/radars/wp-content/plugins/element-ready-lite/assets/css/nice-selectc8d8.css	(from http://localhost/radars/)
